,model,informative_features,main_features,random_features,moderator_features,random_seed,total_features,informative_recall,main_recall,moderator_recall,feature_precision
0,default,3,2,2,1,799,8,1.0,1.0,1.0,0.75
1,shap,3,2,1,0,799,6,1.0,1.0,0.0,0.8333333333333334
0,default,3,2,1,1,1,7,1.0,1.0,1.0,0.8571428571428572
1,shap,3,2,1,0,1,6,1.0,1.0,0.0,0.8333333333333334
0,default,3,2,0,0,453,5,1.0,1.0,0.0,1.0
1,shap,3,2,2,0,453,7,1.0,1.0,0.0,0.7142857142857143
0,default,3,2,1,1,62,7,1.0,1.0,1.0,0.8571428571428572
1,shap,3,2,1,1,62,7,1.0,1.0,1.0,0.8571428571428572
0,default,3,2,0,1,558,6,1.0,1.0,1.0,1.0
1,shap,3,2,1,1,558,7,1.0,1.0,1.0,0.8571428571428572
0,default,3,2,1,1,907,7,1.0,1.0,1.0,0.8571428571428572
1,shap,3,2,2,0,907,7,1.0,1.0,0.0,0.7142857142857143
0,default,3,2,1,0,24,6,1.0,1.0,0.0,0.8333333333333334
1,shap,3,2,1,0,24,6,1.0,1.0,0.0,0.8333333333333334
0,default,3,2,0,1,8,6,1.0,1.0,1.0,1.0
1,shap,3,2,0,0,8,5,1.0,1.0,0.0,1.0
0,default,3,2,0,1,147,6,1.0,1.0,1.0,1.0
1,shap,3,2,0,1,147,6,1.0,1.0,1.0,1.0
0,default,3,2,1,1,400,7,1.0,1.0,1.0,0.8571428571428572
1,shap,3,1,0,0,400,4,1.0,0.5,0.0,1.0
0,default,3,2,1,1,456,7,1.0,1.0,1.0,0.8571428571428572
1,shap,3,2,1,1,456,7,1.0,1.0,1.0,0.8571428571428572
0,default,3,2,0,1,503,6,1.0,1.0,1.0,1.0
1,shap,3,2,0,1,503,6,1.0,1.0,1.0,1.0
0,default,3,2,0,1,894,6,1.0,1.0,1.0,1.0
1,shap,3,2,1,0,894,6,1.0,1.0,0.0,0.8333333333333334
0,default,3,2,1,1,671,7,1.0,1.0,1.0,0.8571428571428572
1,shap,3,2,0,0,671,5,1.0,1.0,0.0,1.0
0,default,3,2,1,0,751,6,1.0,1.0,0.0,0.8333333333333334
1,shap,3,2,1,0,751,6,1.0,1.0,0.0,0.8333333333333334
0,default,3,2,1,1,914,7,1.0,1.0,1.0,0.8571428571428572
1,shap,3,2,0,1,914,6,1.0,1.0,1.0,1.0
0,default,3,2,1,1,389,7,1.0,1.0,1.0,0.8571428571428572
1,shap,3,2,1,0,389,6,1.0,1.0,0.0,0.8333333333333334
0,default,3,2,2,1,182,8,1.0,1.0,1.0,0.75
1,shap,3,2,1,1,182,7,1.0,1.0,1.0,0.8571428571428572
0,default,3,2,0,1,351,6,1.0,1.0,1.0,1.0
1,shap,3,2,0,0,351,5,1.0,1.0,0.0,1.0
0,default,3,2,0,0,126,5,1.0,1.0,0.0,1.0
1,shap,3,2,0,0,126,5,1.0,1.0,0.0,1.0
0,default,3,2,2,1,141,8,1.0,1.0,1.0,0.75
1,shap,3,1,0,0,141,4,1.0,0.5,0.0,1.0
0,default,3,2,2,0,393,7,1.0,1.0,0.0,0.7142857142857143
1,shap,3,2,0,0,393,5,1.0,1.0,0.0,1.0
0,default,3,2,0,1,108,6,1.0,1.0,1.0,1.0
1,shap,3,2,0,1,108,6,1.0,1.0,1.0,1.0
0,default,3,2,2,1,392,8,1.0,1.0,1.0,0.75
1,shap,3,2,1,0,392,6,1.0,1.0,0.0,0.8333333333333334
0,default,3,1,1,1,399,6,1.0,0.5,1.0,0.8333333333333334
1,shap,3,2,0,0,399,5,1.0,1.0,0.0,1.0
0,default,3,2,0,1,545,6,1.0,1.0,1.0,1.0
1,shap,3,2,1,1,545,7,1.0,1.0,1.0,0.8571428571428572
0,default,3,2,0,0,16,5,1.0,1.0,0.0,1.0
1,shap,3,2,2,1,16,8,1.0,1.0,1.0,0.75
0,default,3,2,1,1,566,7,1.0,1.0,1.0,0.8571428571428572
1,shap,3,1,0,0,566,4,1.0,0.5,0.0,1.0
0,default,3,2,1,1,229,7,1.0,1.0,1.0,0.8571428571428572
1,shap,3,2,2,0,229,7,1.0,1.0,0.0,0.7142857142857143
0,default,3,2,1,0,977,6,1.0,1.0,0.0,0.8333333333333334
1,shap,3,1,1,0,977,5,1.0,0.5,0.0,0.8
0,default,3,2,0,0,599,5,1.0,1.0,0.0,1.0
1,shap,3,2,0,0,599,5,1.0,1.0,0.0,1.0
0,default,3,2,0,1,358,6,1.0,1.0,1.0,1.0
1,shap,3,2,0,0,358,5,1.0,1.0,0.0,1.0
0,default,3,2,0,1,765,6,1.0,1.0,1.0,1.0
1,shap,3,2,1,0,765,6,1.0,1.0,0.0,0.8333333333333334
0,default,3,2,1,1,577,7,1.0,1.0,1.0,0.8571428571428572
1,shap,3,2,1,0,577,6,1.0,1.0,0.0,0.8333333333333334
0,default,3,2,0,1,132,6,1.0,1.0,1.0,1.0
1,shap,3,2,1,0,132,6,1.0,1.0,0.0,0.8333333333333334
0,default,3,2,1,1,936,7,1.0,1.0,1.0,0.8571428571428572
1,shap,3,2,1,1,936,7,1.0,1.0,1.0,0.8571428571428572
0,default,3,2,2,1,836,8,1.0,1.0,1.0,0.75
1,shap,3,2,3,1,836,9,1.0,1.0,1.0,0.6666666666666667
0,default,3,2,0,1,989,6,1.0,1.0,1.0,1.0
1,shap,3,2,0,0,989,5,1.0,1.0,0.0,1.0
0,default,3,1,0,1,512,5,1.0,0.5,1.0,1.0
1,shap,3,1,1,0,512,5,1.0,0.5,0.0,0.8
0,default,3,2,0,1,620,6,1.0,1.0,1.0,1.0
1,shap,3,2,1,1,620,7,1.0,1.0,1.0,0.8571428571428572
0,default,3,2,1,1,245,7,1.0,1.0,1.0,0.8571428571428572
